POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;ATTIVA_IMMESSA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;REATTIVA_INDUTTIVA_IMMESSA;CONSUMO_REATTIVA_CAPACITIVA_PRELEVATA;REATTIVA_CAPACITIVA_IMMESSA;POTENZA_MASSIMA;TIPO_DATO;
IT012E00107977;20231005;051500;+02;0,016;;0,0;;;;;E;
IT012E00107977;20231005;053000;+02;0,007;;0,0;;;;;E;
IT012E00107977;20231005;054500;+02;0,014;;0,0;;;;;E;
IT012E00107977;20231005;060000;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231005;061500;+02;0,097;;0,003;;;;;E;
IT012E00107977;20231005;063000;+02;0,012;;0,0;;;;;E;
IT012E00107977;20231005;064500;+02;0,033;;0,0;;;;;E;
IT012E00107977;20231005;070000;+02;0,094;;0,0;;;;;E;
IT012E00107977;20231005;071500;+02;0,036;;0,0;;;;;E;
IT012E00107977;20231005;073000;+02;0,03;;0,0;;;;;E;
IT012E00107977;20231005;074500;+02;0,066;;0,0;;;;;E;
IT012E00107977;20231005;080000;+02;0,026;;0,0;;;;;E;
IT012E00107977;20231005;081500;+02;0,06;;0,0;;;;;E;
IT012E00107977;20231005;083000;+02;0,053;;0,0;;;;;E;
IT012E00107977;20231005;084500;+02;0,012;;0,0;;;;;E;
IT012E00107977;20231005;090000;+02;0,066;;0,0;;;;;E;
IT012E00107977;20231005;091500;+02;0,016;;0,0;;;;;E;
IT012E00107977;20231005;093000;+02;0,015;;0,0;;;;;E;
IT012E00107977;20231005;094500;+02;0,067;;0,0;;;;;E;
IT012E00107977;20231005;100000;+02;0,006;;0,0;;;;;E;
IT012E00107977;20231005;101500;+02;0,016;;0,0;;;;;E;
IT012E00107977;20231005;103000;+02;0,015;;0,0;;;;;E;
IT012E00107977;20231005;104500;+02;0,015;;0,0;;;;;E;
IT012E00107977;20231005;110000;+02;0,015;;0,0;;;;;E;
IT012E00107977;20231005;111500;+02;0,04;;0,0;;;;;E;
IT012E00107977;20231005;113000;+02;0,041;;0,0;;;;;E;
IT012E00107977;20231005;114500;+02;0,074;;0,0;;;;;E;
IT012E00107977;20231005;120000;+02;0,013;;0,0;;;;;E;
IT012E00107977;20231005;121500;+02;0,019;;0,0;;;;;E;
IT012E00107977;20231005;123000;+02;0,022;;0,0;;;;;E;
IT012E00107977;20231005;124500;+02;0,019;;0,0;;;;;E;
IT012E00107977;20231005;130000;+02;0,008;;0,0;;;;;E;
IT012E00107977;20231005;131500;+02;0,022;;0,0;;;;;E;
IT012E00107977;20231005;133000;+02;0,084;;0,0;;;;;E;
IT012E00107977;20231005;134500;+02;0,04;;0,0;;;;;E;
IT012E00107977;20231005;140000;+02;0,031;;0,0;;;;;E;
IT012E00107977;20231005;141500;+02;0,02;;0,0;;;;;E;
IT012E00107977;20231005;143000;+02;0,02;;0,0;;;;;E;
IT012E00107977;20231005;144500;+02;0,02;;0,0;;;;;E;
IT012E00107977;20231005;150000;+02;0,125;;0,0;;;;;E;
IT012E00107977;20231005;151500;+02;0,098;;0,0;;;;;E;
IT012E00107977;20231005;153000;+02;0,073;;0,0;;;;;E;
IT012E00107977;20231005;154500;+02;0,165;;0,0;;;;;E;
IT012E00107977;20231005;160000;+02;0,208;;0,001;;;;;E;
IT012E00107977;20231005;161500;+02;0,142;;0,0;;;;;E;
IT012E00107977;20231005;163000;+02;0,126;;0,0;;;;;E;
IT012E00107977;20231005;164500;+02;0,114;;0,0;;;;;E;
IT012E00107977;20231005;170000;+02;0,01;;0,0;;;;;E;
IT012E00107977;20231005;171500;+02;0,077;;0,0;;;;;E;
IT012E00107977;20231005;173000;+02;0,091;;0,0;;;;;E;
IT012E00107977;20231005;174500;+02;0,061;;0,0;;;;;E;
IT012E00107977;20231005;180000;+02;0,068;;0,0;;;;;E;
IT012E00107977;20231005;181500;+02;0,012;;0,0;;;;;E;
IT012E00107977;20231005;183000;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231005;184500;+02;0,072;;0,0;;;;;E;
IT012E00107977;20231005;190000;+02;0,115;;0,0;;;;;E;
IT012E00107977;20231005;191500;+02;0,087;;0,0;;;;;E;
IT012E00107977;20231005;193000;+02;0,049;;0,0;;;;;E;
IT012E00107977;20231005;194500;+02;0,136;;0,0;;;;;E;
IT012E00107977;20231005;200000;+02;0,074;;0,0;;;;;E;
IT012E00107977;20231005;201500;+02;0,095;;0,0;;;;;E;
IT012E00107977;20231005;203000;+02;0,099;;0,0;;;;;E;
IT012E00107977;20231005;204500;+02;0,071;;0,0;;;;;E;
IT012E00107977;20231005;210000;+02;0,117;;0,0;;;;;E;
IT012E00107977;20231005;211500;+02;0,013;;0,0;;;;;E;
IT012E00107977;20231005;213000;+02;0,092;;0,0;;;;;E;
IT012E00107977;20231005;214500;+02;0,085;;0,0;;;;;E;
IT012E00107977;20231005;220000;+02;0,086;;0,0;;;;;E;
IT012E00107977;20231005;221500;+02;0,044;;0,0;;;;;E;
IT012E00107977;20231005;223000;+02;0,094;;0,0;;;;;E;
IT012E00107977;20231005;224500;+02;0,094;;0,0;;;;;E;
IT012E00107977;20231005;230000;+02;0,084;;0,0;;;;;E;
IT012E00107977;20231005;231500;+02;0,026;;0,0;;;;;E;
IT012E00107977;20231005;233000;+02;0,234;;0,0;;;;;E;
IT012E00107977;20231005;234500;+02;0,208;;0,0;;;;;E;
IT012E00107977;20231006;000000;+02;0,329;;0,0;;;;;E;
IT012E00107977;20231006;001500;+02;0,242;;0,0;;;;;E;
IT012E00107977;20231006;003000;+02;0,232;;0,0;;;;;E;
IT012E00107977;20231006;004500;+02;0,132;;0,0;;;;;E;
IT012E00107977;20231006;010000;+02;0,107;;0,0;;;;;E;
IT012E00107977;20231006;011500;+02;0,152;;0,0;;;;;E;
IT012E00107977;20231006;013000;+02;0,096;;0,0;;;;;E;
IT012E00107977;20231006;014500;+02;0,08;;0,0;;;;;E;
IT012E00107977;20231006;020000;+02;0,077;;0,0;;;;;E;
IT012E00107977;20231006;021500;+02;0,063;;0,0;;;;;E;
IT012E00107977;20231006;023000;+02;0,02;;0,0;;;;;E;
IT012E00107977;20231006;024500;+02;0,074;;0,0;;;;;E;
IT012E00107977;20231006;030000;+02;0,056;;0,0;;;;;E;
IT012E00107977;20231006;031500;+02;0,033;;0,0;;;;;E;
IT012E00107977;20231006;033000;+02;0,006;;0,0;;;;;E;
IT012E00107977;20231006;034500;+02;0,072;;0,0;;;;;E;
IT012E00107977;20231006;040000;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231006;041500;+02;0,021;;0,0;;;;;E;
IT012E00107977;20231006;043000;+02;0,064;;0,0;;;;;E;
IT012E00107977;20231006;044500;+02;0,009;;0,0;;;;;E;
IT012E00107977;20231006;050000;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231006;051500;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231006;053000;+02;0,066;;0,0;;;;;E;
IT012E00107977;20231006;054500;+02;0,008;;0,0;;;;;E;
IT012E00107977;20231006;060000;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231006;061500;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231006;063000;+02;0,013;;0,0;;;;;E;
IT012E00107977;20231006;064500;+02;0,057;;0,0;;;;;E;
IT012E00107977;20231006;070000;+02;0,042;;0,0;;;;;E;
IT012E00107977;20231006;071500;+02;0,111;;0,004;;;;;E;
IT012E00107977;20231006;073000;+02;0,053;;0,0;;;;;E;
IT012E00107977;20231006;074500;+02;0,054;;0,0;;;;;E;
IT012E00107977;20231006;080000;+02;0,092;;0,0;;;;;E;
IT012E00107977;20231006;081500;+02;0,044;;0,0;;;;;E;
IT012E00107977;20231006;083000;+02;0,266;;0,0;;;;;E;
IT012E00107977;20231006;084500;+02;0,307;;0,0;;;;;E;
IT012E00107977;20231006;090000;+02;0,091;;0,0;;;;;E;
IT012E00107977;20231006;091500;+02;0,073;;0,0;;;;;E;
IT012E00107977;20231006;093000;+02;0,053;;0,0;;;;;E;
IT012E00107977;20231006;094500;+02;0,095;;0,001;;;;;E;
